breed_name,temperment,image,description,akc_rank,height,height_group,weight,weight_group,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Schipperke,"Confident, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224700/Schipperke-On-White-01.jpg,"The Schipperke, Belgium's ""little captain,"" is the traditional barge dog of the Low Countries. Curious, lively, and intense but mischievous, this little black dog is a robust, long-lived companion for whom there is never a dull moment.",Ranks 105 of 197,10-12 inches,xsmall,10-16 pounds,featherweight,12-14 years,Non-Sporting Group,40%,60%,80%,40%,60%,"['Black', 'Apricot', 'Black & Tan', 'Blue', 'Chocolate', 'Cream', 'Fawn', 'Gray', 'Red', 'White']"
Manchester Terrier (Toy),"Agile, Spirited, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/26221428/Manchester-Terrier-Slide-01.jpg,"The Manchester Terrier is named after the English city where much of the breed’s early development took place. Sleek dogs who possess a terrier’s ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless Rat Terrier. These racy dogs come in two size varieties:  Toy (not exceeding 12 pounds) and Standard (not exceeding 22 pounds).",Ranks 133 of 197,10-12 inches,xsmall,12 pounds,featherweight,15-17 years,Toy Group,40%,40%,60%,80%,60%,"['Black & Tan', 'Black']"
Pembroke Welsh Corgi,"Affectionate, Smart, Alert",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14112506/Pembroke-Welsh-Corgi-standing-outdoors-in-the-fall.jpg,"Among the most agreeable of all small housedogs, the Pembroke Welsh Corgi is a strong, athletic, and lively little herder who is affectionate and companionable without being needy. They are one of the world's most popular herding breeds.",Ranks 13 of 197,10-12 inches,xsmall,28 pounds,lightweight,12-13 years,Herding Group,40%,80%,80%,60%,100%,"['Black & Tan', 'Fawn', 'Red', 'Sable']"
Miniature Pinscher,"Fearless, Fun-Loving, Proud",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10114051/Miniature-Pinscher-standing-in-three-quarter-view.jpg,"The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait.",Ranks 70 of 197,10-12.5 inches,xsmall,8-10 pounds,featherweight,12-16 years,Toy Group,20%,20%,60%,40%,60%,"['Black & Rust', 'Black & Tan', 'Chocolate & Rust', 'Chocolate & Tan', 'Red', 'Stag Red', 'Blue & Rust', 'Blue & Tan', 'Blue Stag Red', 'Chocolate Stag Red', 'Fawn & Rust', 'Fawn (Isabella) & Tan', 'Fawn (Isabella) Stag Red']"
Rat Terrier (miniature),"Friendly, Inquisitive, Lovable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225148/Rat-Terrier-On-White-01.jpg,"An American original with a breed name said to be coined by Teddy Roosevelt, the Rat Terrier is a compact, tough, smooth-coated exterminator dog. The breed comes in two size varieties and are happy-go-lucky, playful, and portable companions.",Ranks 86 of 197,10-13 inches,xsmall,10-25 pounds,featherweight,12-18 years,Terrier Group,40%,60%,60%,80%,80%,"['Black & White', 'Black Tan & White', 'Black White & Tan', 'Blue White & Tan', 'Red White & Sable', 'White', 'White & Apricot', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Chocolate', 'White & Fawn', 'White & Lemon', 'White & Red', 'White & Silver', 'White & Tan', 'White Black & Tan', 'White, Chocolate & Tan']"
Pug,"Charming, Mischievous, Loving",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225358/Pug-On-White-01.jpg,"Once the mischievous companion of Chinese emperors, and later the mascot of Holland’s royal House of Orange, the small but solid Pug is today adored by his millions of fans around the world. Pugs live to love and to be loved in return.",Ranks 28 of 197,10-13 inches,xsmall,14-18 pounds,featherweight,13-15 years,Toy Group,40%,80%,60%,60%,80%,"['Black', 'Fawn']"
Cesky Terrier,"Clever, Adventurous, Family-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15141010/Cesky-Terrier-on-White-011.jpg,"The Cesky Terrier, national dog of the Czech Republic, is a clever and adventurous playmate for kids and an eager walking buddy for the folks. They are tenacious at work, but a little more laid back and tractable than the usual terrier.",Ranks 185 of 197,10-13 inches,xsmall,14-24 pounds,featherweight,12-15 years,Terrier Group,40%,40%,60%,60%,40%,['Gray']
Xoloitzcuintli (toy),"Loyal, Alert, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12222734/Xoloitzcuintli-On-White-01.jpg,"The 3,000-year-old Xoloitzcuintli (pronounced ""show-low-eats-QUEENT-lee""), the ancient Aztec dog of the gods, is today a loving companion and vigilant watchdog. The alert and loyal Xolo comes in three sizes, and in either hairless or coated varieties.",Ranks 140 of 197,10-14 inches,xsmall,10-15 pounds,featherweight,13-18 years,Non-Sporting Group,20%,20%,80%,60%,60%,"['Black', 'Brindle', 'Bronze', 'Dark Brown', 'Fawn', 'Gray', 'Liver', 'Palomino', 'Red', 'White', 'Black & White', 'Black White & Tan', 'Merle', 'Pink & Brown', 'Tan', 'White & Black']"
Miniature Bull Terrier,"Upbeat, Mischievous, Comical",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09231807/Miniature-Bull-Terrier-standing-outdoors.jpg,"In most every way the Miniature Bull Terrier is a Bull Terrier, only smaller. These upbeat, mischievous dogs come equipped with terrier fire and fearlessness. If ever a dog could claim the title “Clown Prince of Dogdom,” it’s the Mini.",Ranks 110 of 197,10-14 inches,xsmall,18-28 pounds,lightweight,11-13 years,Terrier Group,20%,40%,80%,40%,60%,"['Black & Brindle', 'Black & Tan', 'Black Brindle & White', 'Black Tan & White', 'Brindle', 'Brindle & White', 'Fawn', 'Fawn & White', 'Red', 'Red & White', 'White', 'White & Brindle', 'White & Fawn', 'White & Red', 'White Black & Brindle', 'White Black & Tan']"
Poodle (Miniature),"Active, Proud, Very Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225548/Poodle-On-White-01.jpg,"Whether Standard, Miniature, or Toy, and either black, white, or apricot, the Poodle stands proudly among dogdom’s true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.",Ranks 7 of 197,10-15 inches,xsmall,10-15 pounds,featherweight,10-18 years,Non-Sporting Group,,,,,,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe Au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']"
Sealyham Terrier,"Alert, Outgoing, Sense Of Humor",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29172440/Sealyham-Terrier-standing-outdoors.jpg,"The Sealyham Terrier is brave and spirited, but not as spiky as smaller terriers. These sturdy, outgoing companions are recognized by their “fall,” the mass of hair covering the forehead. Sealy fans enjoy their dog’s sly sense of humor.",Ranks 164 of 197,10.5 inches,xsmall,23-24 pounds,lightweight,12-14 years,Terrier Group,60%,60%,60%,40%,60%,['White']
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04202304/Cardigan-Welsh-Corgi-on-White-111.jpg,"The Cardigan Welsh Corgi is a masterpiece of the breeder’s art: Every aspect of its makeup is perfectly suited to moving cattle, and yet it is so congenial and sweet-faced that it would be a cherished companion even if it never did a day’s work.",Ranks 68 of 197,10.5-12.5 inches,xsmall,25-34 pounds,lightweight,12-15 years,Herding Group,40%,60%,80%,60%,60%,"['Black & White', 'Blue Merle & White', 'Brindle & White', 'Red & White', 'Sable & White', 'Brindle Merle & White', 'Gray & White', 'Liver & White', 'Red Merle & White', 'Sable Merle & White', 'White Merle']"
Japanese Terrier,"Independent, Curious, Reserved",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/12/22144751/Japanese-Terrier-standing-in-three-quarter-view.jpg,"Japanese Terriers are a small, highly-intelligent breed full of terrier temperaments. They are independent, active, crisp, and lively. As one-person dogs, they are often reserved with strangers. Keen and alert, Japanese Terriers will hear the slightest noise and give warning of any stranger. He has no issue with respectful children and other dogs. As a sporting terrier and versatile, eager-to-learn dog, he has great athleticism and inborn instincts.",,11-13 inches,xsmall,5-10 pounds,featherweight,12-15 years,Foundation Stock Service,40%,40%,60%,60%,40%,['White']
Chinese Crested,"Affectionate, Alert, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234649/Chinese-Crested-On-White-01.jpg,"With their spotted pink skin, spiky “crested” hairdo, furry socks and feathery tail, you can’t mistake the sweet and slender Chinese Crested for any other breed. This frolicsome, ultra-affectionate companion dog is truly a breed apart.",Ranks 79 of 197,11-13 inches,xsmall,8-12 pounds,featherweight,13-18 years,Toy Group,20%,20%,60%,60%,80%,"['Apricot', 'Black', 'Black White & Tan', 'Blue', 'Chocolate', 'Cream', 'Palomino', 'Pink & Chocolate', 'Pink & Slate', 'Slate', 'White', 'Black & Tan', 'Black & White', 'Brown', 'Pink', 'Red', 'Sable', 'Silver', 'White & Black', 'White & Chocolate']"
Löwchen,"Affectionate, Outgoing, Positive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25120641/Lowchen-at-the-AKC-National-Championship-presented-by-Royal-Canin.jpg,"A companion dog whose name is German for “little lion,” the Löwchen has been a popular pet among Continental Europeans for more than 500 years. The portable, non-shedding Löwchen is said to be affectionate, lively, and brave as a lion.",Ranks 168 of 197,11-13 inches,xsmall,10-15 pounds,featherweight,15 years,Non-Sporting Group,20%,20%,60%,60%,100%,"['Black', 'Black & Silver', 'Black & Tan', 'Black Brindle', 'Blue', 'Blue Brindle', 'Chocolate', 'Cream', 'Fawn', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Red Sable', 'Silver', 'Silver Brindle', 'White', 'Black & Tan Brindle', 'Chocolate Brindle', 'Chocolate Sable', 'Fawn Brindle', 'Fawn Sable', 'Silver Sable']"
French Bulldog,"Adaptable, Playful, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12145606/20121215-_MG_3384.jpg,"The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world’s most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible.",Ranks 4 of 197,11-13 inches,xsmall,28 pounds,lightweight,10-12 years,Non-Sporting Group,20%,80%,40%,60%,60%,"['Brindle', 'Brindle & White', 'Cream', 'Fawn', 'Fawn & White', 'Fawn Brindle', 'White', 'White & Brindle', 'White & Fawn', 'Cream & White', 'Fawn Brindle & White']"
Swedish Vallhund,"Friendly, Energetic, Watchful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17140753/Swedish-Vallhund-running-in-the-grass.jpg,"The long and low Swedish Vallhund, Viking Dog of ancient legend, is a smart and sociable herder of dense coat and boundless energy. These rugged cattle dogs are known for their zest for life, unique vocalizations, and cheerful demeanor.",Ranks 169 of 197,11.5-12.75 inches,xsmall,20-35 pounds,lightweight,12-15 years,Herding Group,20%,60%,100%,100%,80%,"['Gray', 'Red', 'Black', 'Blue', 'White', 'Yellow']"
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13142848/Cavalier-King-Charles-Spaniel-standing-in-the-grass.jpg,"The Cavalier King Charles Spaniel wears his connection to British history in his breed’s name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.",Ranks 18 of 197,12-13 inches,small,13-18 pounds,featherweight,12-15 years,Toy Group,40%,40%,40%,100%,80%,"['Black & Tan', 'Black & White', 'Blenheim', 'Ruby']"
Miniature Schnauzer,"Friendly, Smart, Obedient",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230713/Miniature-Schnauzer-On-White-01.jpg,"The Miniature Schnauzer, the smallest of the three Schnauzer breeds, is a generally healthy, long-lived, and low-shedding companion. Add an outgoing personality, a portable size, and sporty good looks, and you’ve got an ideal family dog.",Ranks 19 of 197,12-14 inches,small,11-20 pounds,featherweight,12-15 years,Terrier Group,100%,20%,60%,100%,60%,"['Black', 'Black & Silver', 'Salt & Pepper']"
Norwegian Lundehund,"Loyal, Energetic, Alert",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230304/Norwegian-Lundehund-On-White-03.jpg,"From Norway’s rocky island of Vaeroy, the uniquely constructed Norwegian Lundehund is the only dog breed created for the job of puffin hunting. With puffins now a protected species, today’s Lundehund is a friendly, athletic companion.",Ranks 191 of 197,12-14 inches,small,20-30 pounds,lightweight,12-15 years,Non-Sporting Group,40%,60%,80%,60%,40%,"['Black', 'Gray', 'Reddish Brown', 'White', 'Yellow', 'Sable & White']"
American Eskimo Dog (miniature),"Playful, Perky, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001724/American-Eskimo-Dog-On-White-01.jpg,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.",Ranks 122 of 197,12-15 inches,small,10-20 pounds,featherweight,13-15 years,Non-Sporting Group,40%,60%,80%,100%,100%,"['White', 'White & Biscuit']"
Japanese Spitz,"Loyal, Playful, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/28104840/Japanese-Spitz.4.jpg,"The Japanese Spitz are little comedians who want to make you happy and laugh. They are very loyal and smart and make wonderful companions. Game for adventures, they will tag along on a hike, a car ride, or a trip to the beach or lake. They love their humans and just enjoy being with them.",,12-15 inches,small,10-25 pounds,featherweight,12-14 years,Foundation Stock Service,40%,40%,60%,80%,80%,['White']
Border Terrier,"Affectionate, Happy, Plucky",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235916/Border-Terrier-On-White-03.jpg,"Admirers of the upbeat and agile Border Terrier cherish their breed’s reputation as a tough, no-frills working terrier. These plucky, happy, and affectionate dogs are popular pets in town and country. The wiry coat is an easy keeper.",Ranks 88 of 197,12-15 inches,small,11.5-14 pounds,featherweight,12-15 years,Terrier Group,40%,40%,60%,80%,80%,"['Blue & Tan', 'Grizzle & Tan', 'Red', 'Wheaten', 'Black & Red', 'Black & Tan', 'Black Grizzle', 'Blue Grizzle', 'Grizzle', 'Red Grizzle', 'Red Grizzle & Tan', 'Red Wheaten']"
German Spitz,"Devoted, Lively, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185947/German-Spitz-on-White-01-1.jpg,"The German Spitz is always attentive, lively and exceptionally devoted to his owner. He is very teachable and easy to train. His distrust towards strangers and lack of hunting instinct make him the ideal watchdog for the home. His indifference to weather, robustness and longevity are his most outstanding attributes.",,12-15 inches,small,24-26 pounds,lightweight,13-15 years,Foundation Stock Service,60%,60%,60%,100%,40%,"['Black', 'Black & Tan', 'Brown', 'Cream', 'Orange', 'Red', 'White', 'Wolfgray']"
Drever,"Loyal, Even-Tempered, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18182350/Drever-face.jpg,"The Drever is robust and strong rather than elegant and speedy. They have a proud carriage, well-developed muscles and agile appearance. Affectionate, playful, and sweet, the Drever gets along well with most other breeds and is great in groups.",,12-15 inches,small,35-40 pounds,middleweight,15 years,Foundation Stock Service,20%,40%,60%,20%,60%,"['Brindle', 'Fawn', 'Red', 'Tri-Colored']"
American Hairless Terrier,"Energetic, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18232608/American-Hairless-Terrier-standing-in-the-grass-on-lead.jpg,"The American Hairless Terrier, a Louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. He is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.",Ranks 136 of 197,12-16 inches,small,12-16 pounds,featherweight,14-16 years,Terrier Group,,,,,,"['Apricot', 'Black', 'Black Sable Red', 'Blue', 'Blue Fawn', 'Chocolate', 'Lemon', 'Lilac Dilute', 'Red', 'Red Sable', 'Seal', 'White & Apricot', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Chocolate', 'White & Lemon', 'White & Red', 'White Black & Red', 'Black & Tan', 'Black Brindle', 'Black Brindle & White', 'Black Tan & White', 'Blue & Tan', 'Blue Brindle', 'Blue Brindle & White', 'Blue Fawn & White', 'Blue Tan & White', 'Chocolate & Tan', 'Chocolate Brindle', 'Lemon & White', 'Red & Tan', 'Red & White', 'Red Brindle', 'Red Brindle & White']"
Glen of Imaal Terrier,"Gentle, Spirited, Bold",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232815/Glen-of-Imaal-Terrier-On-White-01.jpg,"Gentler, less excitable than most terriers, but still bold and spirited, the double-coated Glen of Imaal Terrier is named for one of Ireland's most remote locales. The brave but docile Glen is a strong, no-fuss dog built for hard work.",Ranks 174 of 197,12.5-14 inches,small,32-40 pounds,middleweight,10-15 years,Terrier Group,60%,40%,60%,40%,60%,"['Blue Brindle', 'Wheaten']"
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205855/Danish-Swedish-Farmdog-on-White-01.jpg,"Known as the Little Big Dog, the Danish-Swedish Farmdog is a companion dog that loves to work and enjoys a challenge. They are a small, compact and slightly rectangular dog, known to mature late.",,12.5-14.5 inches,small,15-20 pounds,lightweight,11-13 years,Foundation Stock Service,,20%,40%,40%,80%,"['White & Black', 'White & Brown', 'White & Fawn', 'White & Tan']"
Basset Fauve de Bretagne,"Smart, Cheerful, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184409/AdobeStock_23183632.jpg,"Smart, courageous and determined, the Basset Fauve de Bretagne is a serious hunter, easily adaptable to different types of game and terrain. It is equally an excellent companion dog, being cheerful, intelligent and eager to please.",,12.5-15.5 inches,small,27-35 pounds,lightweight,12 years,Foundation Stock Service,40%,60%,60%,20%,100%,"['Fawn', 'Red Wheaten', 'Wheaten']"
Parson Russell Terrier,"Friendly, Clever, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13124139/Parson-Russell-Terrier-standing-in-three-quarter-view-on-a-white-background.jpg,"The Parson Russell Terrier is a bold and clever terrier, swift enough to run with horses and fearless enough to dig in and flush a fox from his lair. Independent problem solvers, PRTs can have their own ideas on how to go about things.",Ranks 117 of 197,13 inches,small,13-17 pounds,featherweight,13-15 years,Terrier Group,40%,40%,100%,60%,80%,['White']
Italian Greyhound,"Playful, Alert, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20155017/Two-Italian-Greyhounds.jpg,"A true Greyhound in miniature, the elegant Italian Greyhound is an alert, playful, and highly affectionate toy companion. IGs make decorative couch dogs, but at heart they are flash-and-dash coursing hounds with an instinct for pursuit.",Ranks 73 of 197,13-15 inches,small,7-14 pounds,featherweight,14-15 years,Toy Group,20%,60%,60%,40%,20%,"['Black', 'Blue', 'Blue Fawn', 'Cream', 'Fawn', 'Red', 'Red Fawn', 'Sable', 'Seal', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Fawn', 'White & Red', 'White & Red Fawn', 'White & Sable', 'White & Seal', 'Black', 'Black & Tan', 'Blue & Tan', 'Brindle', 'Chocolate', 'White']"
Beagle,"Friendly, Curious, Merry",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11123543/Beagles-standing-in-a-frosty-field-on-a-cold-morning.jpg,"Not only is the Beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. They were bred to hunt in packs, so they enjoy company and are generally easygoing.",Ranks 6 of 197,13-15 inches,small,20-30 pounds,lightweight,10-15 years,Hound Group,60%,60%,80%,60%,80%,"['Black & Tan', 'Black Red & White', 'Black Tan & Bluetick', 'Black Tan & White', 'Black White & Tan', 'Blue Tan & White', 'Brown & White', 'Brown White & Tan', 'Lemon & White', 'Red & White', 'Tan & White', 'Black', 'Black & White', 'Black Fawn & White', 'Black Tan & Redtick', 'Blue', 'Blue & White', 'Brown', 'Lemon', 'Red', 'Red & Black', 'Red Black & White', 'Tan', 'White', 'White Black & Tan']"
Petit Basset Griffon Vendéen,"Alert, Happy, Vivacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212335/Petit-Basset-Griffon-Vendeen-On-White-03.jpg,"The Petit Basset Griffon Vendéen is a vivacious small French hunting hound known for a happy demeanor and durable constitution. Bred to work in a pack, PBGVs enjoy company and do well with other dogs and kids.",Ranks 156 of 197,13-15 inches,small,25-40 pounds,lightweight,12-14 years,Hound Group,40%,40%,80%,40%,80%,"['Black & Tan', 'White & Black', 'White & Gray', 'White & Grizzle', 'White & Lemon', 'White & Orange', 'White & Sable', 'White Black & Tan', 'Fawn']"
