breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
American Leopard Hound,"Sociable, Energetic, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191232/American-Leopard-Hound-MP.jpg,"Intelligence is one of the American Leopard Hound's very best attributes. The breed is loving and affectionate toward their family and they are extremely protective of children. American Leopards are one of the oldest tree dog breeds in the U.S. and have extremely strong tracking abilities, often able to track prey for miles.",NA,21-27 inches,45-70 pounds,12-15 years,Foundation Stock Service,40%,60%,80%,100%,60%,"['Black', 'Blue', 'Brown', 'Gray', 'Red', 'Yellow']"
American Staffordshire Terrier,"Confident, Smart, Good-Natured",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07172037/AmStaff.06.jpg,"The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.",Ranks 85 of 197,"18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12-16 years,Terrier Group,20%,40%,60%,60%,60%,"['Black', 'Black Brindle', 'Blue', 'Blue Brindle', 'Blue Fawn', 'Blue Fawn Brindle', 'Bronze', 'Brown Brindle', 'Fawn', 'Fawn Brindle', 'Fawn Sable', 'Liver', 'Liver Brindle', 'Red', 'Red Brindle', 'Red Sable', 'Seal Brown', 'White']"
American Water Spaniel,"Eager, Happy, Charming",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04160609/American-Water-Spaniel.1.jpg,"The American Water Spaniel, native to the lake country of the upper Midwest, is an upbeat, outdoorsy athlete who loves to hunt and swim. They are known to be happy, eager, and charming, though aloof with strangers and a bit stubborn.",Ranks 166 of 197,15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10-14 years,Sporting Group,60%,20%,60%,100%,80%,"['Brown', 'Chocolate', 'Liver']"
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001436/Anatolian-Shepherd-Dog-On-White-01.jpg,"An Anatolian Shepherd Dog is a rugged, imposing flock guardian of ancient lineage. Protective and territorial, but also intelligent, patient, and profoundly loyal, these muscular avengers are prized as working guard dogs without equal.",Ranks 90 of 197,"29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11-13 years,Working Group,40%,60%,60%,40%,40%,"['Biscuit & White', 'Blue Fawn', 'Brindle', 'Fawn', 'Gray Fawn', 'Liver', 'Red Fawn', 'White']"
Appenzeller Sennenhund,"Agile, Versatile, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07194156/AdobeStock_64186349.jpg,"The Appenzeller Sennenhund is tri-color, medium-sized, and almost squarely built and balanced. He is muscular and agile and makes a good driving, watch, guard, house or farm dog. Due to their versatility and willingness, they excel in agility, obedience, herding and search and rescue.",NA,19-22 inches,48-70 pounds,12-15 years,Foundation Stock Service,40%,80%,100%,20%,40%,['Black Brown and White']
Australian Cattle Dog,"Alert, Curious, Pleasant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001403/Australian-Cattle-Dog-On-White-03.jpg,"The compact but muscular Australian Cattle Dog, also called Blue Heeler or Queensland Heeler, is related to Australia’s famous wild dog, the Dingo. These resilient herders are intelligent enough to routinely outsmart their owners.",Ranks 55 of 197,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,Herding Group,20%,80%,100%,20%,40%,"['Blue', 'Blue Mottled', 'Blue Speckled', 'Red Mottled', 'Red Speckled']"
Australian Kelpie,"Loyal, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20110435/Australian-Kelpie-herding-sheep.jpg,"The Australian Kelpie is a lithe, active dog, capable of untiring work. He is extremely intelligent, alert, and eager with unlimited energy.",NA,17-20 inches,NA,10-13 years,Foundation Stock Service,40%,80%,80%,100%,60%,"['Black', 'Black & Tan', 'Blue', 'Chocolate', 'Fawn', 'Red', 'Red & Tan']"
Australian Shepherd,"Smart, Work-Oriented, Exuberant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03173132/Australian-Shepherd.1.jpg,"The Australian Shepherd, a lean, tough ranch dog, is one of those “only in America” stories: a European breed perfected in California by way of Australia. Fixtures on the rodeo circuit, they are closely associated with the cowboy life.",Ranks 17 of 197,"20-23 inches (male), 18-21 inches (female)","50-65 pounds (male), 40-55 pounds (female)",12-15 years,Herding Group,40%,60%,80%,100%,60%,"['Black', 'Blue Merle', 'Red', 'Red Merle']"
Australian Stumpy Tail Cattle Dog,"Alert, Trainable, Comical",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/10105842/Australian-Stumpy-Tail-Cattle-Dog-Slideshow-04.jpg,The Australian Stumpy Tail Cattle Dog is not an Australian Cattle Dog with a docked tail. He is a naturally bob-tailed breed and stands square with plenty of leg length under the body.,NA,"18-20 inches (males), 17-19 inches (females)","38-45 pounds (males), 32-35 pounds (females)",12-15 years,Foundation Stock Service,40%,40%,80%,80%,60%,"['Blue', 'Blue Mottled', 'Blue Speckled', 'Red', 'Red Mottled', 'Red Speckled']"
Australian Terrier,"Affectionate, Courageous, Spirited",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29112347/Australian-Terrier-on-White-011.jpg,"The diminutive Australian Terrier is plucky, spirited, and smart—how did they fit so much dog into such a bitty package? Upbeat and lively, the self-assured Aussie approaches life with plenty of the old-time terrier curiosity and grit.",Ranks 140 of 197,10-11 inches,15-20 pounds,11-15 years,Terrier Group,40%,20%,80%,60%,80%,"['Blue & Tan', 'Red', 'Sandy', 'Black', 'Black & Red', 'Black & Tan', 'Blue', 'Blue & Black', 'Blue Black & Tan', 'Brindle', 'Red & Black', 'Red & Tan', 'Red & White', 'Sable']"
Azawakh,"Loyal, Independent, Deeply Affectionate",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03161327/Azawakh_178091272.jpg,"Tall and elegant, the Azawakh is a West African sighthound who originates from the countries of Burkina Faso, Mali, and Niger. The Azawakh has a short, fine coat which may come in any color or color combinations: red, clear sand to fawn, brindled, parti-color (which may be predominantly white), blue, black and brown. The head may have a black mask and there may be white markings on the legs, bib and at the tip of tail. There are no color or marking disqualifications in the breed. Befitting its heritage, the Azawakh excels as a companion, guardian and a lure courser in the United States.",NA,"25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12-15 years,Hound Group,40%,40%,60%,40%,80%,"['Black', 'Blue', 'Brindle', 'Brown', 'Cream', 'Fawn', 'Gray', 'Red', 'Sandy', 'White']"
Barbet,"Friendly, Bright, Sweet-Natured",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11112812/Barbet-standing-in-the-snow.jpg,"An archetypic water dog of France, the Barbet is a rustic breed of medium size and balanced proportions who appears in artwork as early as the 16th century. In profile, the Barbet is slightly rectangular with a substantial head and long, sweeping tail. He has a long, dense covering of curly hair and a distinctive beard. An agile athlete, the Barbet has been used primarily to locate, flush, and retrieve birds. He has a cheerful disposition and is very social and loyal.",NA,19-24.5 inches,35-65 pounds,12-14 years,Sporting Group,40%,20%,60%,60%,80%,"['Black', 'Brown', 'Fawn', 'Gray', 'White']"
Basenji,"Independent, Smart, Poised",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19135835/Basenji-running-through-a-field.jpg,"The Basenji, Africa’s “Barkless Dog,” is a compact, sweet-faced hunter of intelligence and poise. They are unique and beguiling pets, best for owners who can meet their exercise needs and the challenge of training this catlike canine.",Ranks 87 of 197,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,Hound Group,20%,40%,80%,40%,40%,"['Black & White', 'Black Tan & White', 'Brindle & White', 'Red & White', 'Black Brindle & White', 'Blue Cream & White', 'Cream & White', 'Mahogany & White', 'Sable & White']"
Basset Fauve de Bretagne,"Smart, Cheerful, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184409/AdobeStock_23183632.jpg,"Smart, courageous and determined, the Basset Fauve de Bretagne is a serious hunter, easily adaptable to different types of game and terrain. It is equally an excellent companion dog, being cheerful, intelligent and eager to please.",NA,12.5-15.5 inches,27-35 pounds,12+ years,Foundation Stock Service,40%,60%,60%,20%,100%,"['Fawn', 'Red Wheaten', 'Wheaten']"
Basset Hound,"Charming, Patient, Low-Key",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001044/Basset-Hound-On-White-03.jpg,"Among the most appealing of the AKC breeds, the endearing and instantly recognizable Basset Hound is a perennial favorite of dog lovers all over the world. This low-slung and low-key hound can be sometimes stubborn, but is always charming.",Ranks 39 of 197,up to 15 inches,40-65 pounds,12-13 years,Hound Group,60%,40%,20%,40%,80%,"['Black & White', 'Black Brown & White', 'Black Tan & White', 'Black White & Brown', 'Black White & Tan', 'Brown Black & White', 'Lemon & White', 'Mahogany & White', 'Red & White', 'Black & Brown', 'Black Red & White', 'Blue & White', 'Blue Tan & White', 'Brown & White', 'Tan & White', 'White & Lemon', 'White & Red', 'White Black & Brown', 'White Black & Red']"
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13191700/Bavarian.190758538.jpg,"The Bavarian Mountain Scent Hound is calm and balanced, devoted to its owner, and reserved with strangers. He is a sound, self-assured, unafraid, biddable dog, neither shy nor aggressive.",NA,17-20.5 inches,37-66 pounds,12-15 years,Foundation Stock Service,40%,80%,60%,60%,40%,"['Brindle', 'Fawn', 'Red', 'Reddish Brown', 'Tan']"
Beagle,"Friendly, Curious, Merry",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11123543/Beagles-standing-in-a-frosty-field-on-a-cold-morning.jpg,"Not only is the Beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. They were bred to hunt in packs, so they enjoy company and are generally easygoing.",Ranks 6 of 197,"13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10-15 years,Hound Group,60%,60%,80%,60%,80%,"['Black & Tan', 'Black Red & White', 'Black Tan & Bluetick', 'Black Tan & White', 'Black White & Tan', 'Blue Tan & White', 'Brown & White', 'Brown White & Tan', 'Lemon & White', 'Red & White', 'Tan & White', 'Black', 'Black & White', 'Black Fawn & White', 'Black Tan & Redtick', 'Blue', 'Blue & White', 'Brown', 'Lemon', 'Red', 'Red & Black', 'Red Black & White', 'Tan', 'White', 'White Black & Tan']"
Bearded Collie,"Smart, Bouncy, Charismatic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24142449/Bearded-Collie-standing-in-the-grass.jpg,"A boisterous and charismatic droving dog from Scotland, the shaggy-coated Bearded Collie (“Beardie” to his friends) enjoys outdoor exercise in all weather. Bred to be independent decision-makers, they can be willful but are always friendly.",Ranks 127 of 197,"21-22 inches (male), 20-21 inches (female)",45-55 pounds,12-14 years,Herding Group,80%,60%,60%,40%,100%,"['Black', 'Blue', 'Brown', 'Fawn', 'Black & Brown', 'Black & Tan', 'Black & White', 'Black Brown & White', 'Blue & Tan', 'Blue & White', 'Blue Gray & White', 'Brown & White', 'Gray', 'Gray & White', 'Liver & White', 'Red & Brown', 'White']"
Beauceron,"Gentle, Faithful, Obedient",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000826/Beauceron-On-White-03.jpg,"The Beauceron is imposing and powerful, but also remarkably smart, spirited, and a versatile herder—imagine a Border Collie’s brain in a 100-pound body. They are especially beloved by women as a dashing but sensitive companion and protector.",Ranks 124 of 197,"25.5-27.5 inches (male), 24-26.5 inches (female)",70-110 pounds,10-12 years,Herding Group,60%,100%,100%,80%,40%,"['Black & Rust', 'Black & Tan', 'Gray Black & Tan', 'Harlequin']"
Bedlington Terrier,"Loyal, Charming, Frollicking",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09202451/Bedlington-Terrier-standing-outdoors.jpg,"Graceful terriers in sheep’s clothing, Bedlington Terriers, named for the English mining shire where they were first bred, are genial housemates, alert watchdogs, versatile athletes, and irresistibly cuddly TV-time companions.",Ranks 141 of 197,15-17.5 inches,17-23 pounds,11-16 years,Terrier Group,Missing 'Care' Scales for 'Bedlington Terrier',Missing 'Care' Scales for 'Bedlington Terrier',Missing 'Care' Scales for 'Bedlington Terrier',Missing 'Care' Scales for 'Bedlington Terrier',Missing 'Care' Scales for 'Bedlington Terrier',"['Blue', 'Blue & Tan', 'Liver', 'Liver & Tan', 'Sandy', 'Sandy & Tan']"
Belgian Laekenois,"Affectionate, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25180028/Belgian-Laekenois-standing-in-a-field.jpg,"Strong, agile and full of life, the Belgian Laekenois (pronounced ""Lak-in-wah"") is one of four native dogs of Belgium. Although similar in body and temperament to the Malinois, Shepherd and Tervuren, the Laekenois differs in coat color, texture and length, as well as region of origin.",NA,"24-26 inches (male), 22-24 inches (female)",55-65 pounds,10-12 years,Herding Group,40%,80%,80%,80%,40%,"['Fawn', 'Fawn Sable', 'Mahogany', 'Red', 'Red Sable', 'Black & Tan', 'Cream', 'Cream Sable']"
Belgian Malinois,"Confident, Smart, Hardworking",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000724/Belgian-Malinois-On-White-01.jpg,"The smart, confident, and versatile Belgian Malinois is a world-class worker who forges an unbreakable bond with his human partner. To deny a Mal activity and the pleasure of your company is to deprive him of his very reasons for being.",Ranks 43 of 197,"24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14-16 years,Herding Group,40%,60%,80%,80%,40%,"['Fawn', 'Fawn Sable', 'Mahogany', 'Red', 'Red Sable', 'Black', 'Brindle', 'Cream', 'Cream Sable', 'Gray', 'Gray Sable', 'Liver']"
Belgian Sheepdog,"Bright, Watchful, Serious-Minded",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24164142/Belgian-Sheepdog-standing-in-a-field.jpg,"The Belgian Sheepdog is a highly trainable herder whose versatility and intelligence is the stuff of canine legend. This is a breed built for hard work, and plenty of it. These sensitive souls crave human companionship and abhor neglect.",Ranks 125 of 197,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Herding Group,60%,60%,80%,80%,40%,"['Black', 'Black & White', 'Black & Cream', 'Brown', 'Fawn', 'Fawn & Black', 'Gray', 'Gray & Black', 'Sable', 'Silver', 'Silver & Black', 'Wolfgray & Black']"
Belgian Tervuren,"Courageous, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29201539/Belgian-Tervuren.3.jpg,"The elegant, agile Belgian Tervuren is a bright and self-assured herding dog of medium size, known to be affectionate and possessive with loved ones. Lots of hard work and challenging play is heaven for this tireless, do-it-all dog.",Ranks 106 of 197,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Herding Group,60%,60%,80%,80%,40%,"['Fawn & Black', 'Mahogany & Black', 'Black', 'Brindle', 'Cream & Black', 'Fawn & Liver', 'Gray & Black', 'Mahogany & Liver', 'Silver & Black']"
Bergamasco Sheepdog,"Independent, Sociable, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01151917/Bergamasco-Sheepdogs-sitting-in-a-field.jpg,"Generally happy with kids and other animals, the low-maintenance and robustly healthy Bergamasco is much more than a show-stopping hairdo. Eager to please, smart, and stubbornly devoted to work, Bergamascos are patient but protective.",Ranks 187 of 197,"23.5 inches (male), 22 inches (female)","70-84 pounds (male), 57-71 pounds (female)",13-15 years,Herding Group,20%,20%,40%,60%,40%,"['Black', 'Gray']"
Berger Picard,"Loyal, Good-Natured, Observant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03193707/Berger-Picard-standing-in-a-field.jpg,"The Berger Picard is a lanky herding dog of strong bone and sturdy build. Picards spent centuries as take-charge independent problem-solvers, so early socialization and positive training are necessary to cope with their stubborn streak.",Ranks 144 of 197,"23.5-25.5 inches (male), 21.5-23.5 inches (female)",50-70 pounds,12-13 years,Herding Group,20%,60%,100%,80%,60%,"['Brindle', 'Fawn']"
Bernese Mountain Dog,"Good-Natured, Calm, Strong",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11124331/Bernese-Mountain-Dog-On-White-01.jpg,"Big, powerful, and built for hard work, the Bernese Mountain Dog is also strikingly beautiful and blessed with a sweet, affectionate nature. Berners are generally placid but are always up for a romp with the owner, whom they live to please.",Ranks 22 of 197,"25-27.5 inches (male), 23-26 inches (female)","80-115 pounds (male), 70-95 pounds (female)",7-10 years,Working Group,60%,100%,80%,80%,40%,"['Black Rust & White', 'Black Tan & White', 'Black & Rust', 'Black & White', 'Rust & White']"
Bichon Frise,"Playful, Curious, Peppy",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000402/Bichon-Frise-On-White-03.jpg,"The small but sturdy and resilient Bichon Frise stands among the world’s great “personality dogs.” Since antiquity, these irresistible canine comedians have relied on charm, beauty, and intelligence to weather history’s ups and downs.",Ranks 46 of 197,9.5-11.5 inches,12-18 pounds,14-15 years,Non-Sporting Group,100%,20%,60%,60%,100%,"['White', 'White & Apricot', 'White & Buff', 'White & Cream']"
Biewer Terrier,"Intelligent, Devoted, Amusing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05140029/Biewer-Terrier-standing-on-a-white-background.jpg,"The Biewer Terrier is an elegant, longhaired, tri-colored toy terrier whose only purpose in life is to love and be loved. They maintain a charming, whimsical attitude well into adulthood. Carrying around a toy or two is not surprising.",NA,7-11 inches,4-8 pounds,16 years,Toy Group,60%,20%,40%,100%,100%,"['Black Tan & White', 'Blue Tan & White', 'Chocolate Tan & White']"
Black and Tan Coonhound,"Easy-Going, Bright, Brave",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29172221/Black-and-Tan-Coonhound-On-White-031.jpg,"Large, athletic hunters who work nights, Black and Tan Coonhounds are friendly, easygoing hounds who love company. They are snoozy by the fireside but tenacious when on the trail of the wily raccoon. This hound is a real American original.",Ranks 138 of 197,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,Hound Group,40%,60%,60%,40%,80%,['Black & Tan']
Black Russian Terrier,"Intelligent, Calm, Powerful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11232144/Black-Russian-Terrier-standing-outdoors.jpg,"The Black Russian Terrier is a large, immensely powerful worker of heavy bone and coarse all-black coat. They are known for their courage, confidence, and intelligence. Bred to guard and protect, they are naturally aloof with strangers.",Ranks 118 of 197,"27-30 inches (male), 26-29 inches (female)",80-130 pounds,10-12 years,Working Group,80%,60%,80%,80%,40%,"['Black', 'Salt & Pepper', 'Black & Tan', 'Blue', 'Sable']"
Bloodhound,"Friendly, Independent, Inquisitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25141649/Bloodhound-on-a-scent-in-the-woods.jpg,"The world famous “Sleuth Hound” does one thing better than any creature on earth: find people who are lost or hiding. An off-duty Bloodhound is among the canine kingdom’s most docile citizens, but he’s relentless and stubborn on scent. ",Ranks 49 of 197,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10-12 years,Hound Group,40%,60%,60%,40%,60%,"['Black & Tan', 'Liver & Tan', 'Red']"
Bluetick Coonhound,"Smart, Devoted, Tenacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28195318/Bluetick-Coonhound.jpg,"The sleekly beautiful Bluetick Coonhound is a sweet and affectionate charmer who might enjoy snoozing in the shade, but in pursuit of quarry he is relentless, bold, and single-minded. His off-the-charts prey drive must be channeled.",Ranks 130 of 197,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,Hound Group,40%,60%,80%,60%,80%,"['Blue Ticked', 'Blue Ticked & Tan']"
